key_specs.graphics,general.product_name,processor.number_of_cpu_cores,features.casing_material,graphics.unlocked_gpu,memory.expandable_memory_compatibility,graphics.gpu_boost_clock_frequency,connectivity.usb_ports,key_specs.battery_type,memory.type_of_memory_(ram),camera.front_facing_camera_megapixels,connectivity.number_of_usb-c_charging_ports,power.battery_type,connectivity.ethernet_card,certifications_&_listings.epeat_qualified,general.model_family,key_specs.battery_life_(up_to),key_specs.works_with,general.year_of_release,storage.hard_drive_interface,processor.l1_cache,dimension.product_height,camera.front_facing_camera_video_resolution,camera.rear_facing_camera_megapixels,connectivity.network_connectivity,connectivity.compatible_wireless_standard(s),storage.emmc_capacity,dimensions.product_width,camera.rear_facing_camera_video_resolution,connectivity.display_connector(s),connectivity.number_of_usb_ports_(total),included.optical_drive_type,storage.hard_drive_rpm,connectivity.bluetooth_version,cooling.cpu_cooling_system,display.refresh_rate,compatibility.operating_system_compatibility,camera.built-in_microphone,memory.number_of_memory_sticks_included,graphics.number_of_gpu_cores,connectivity.number_of_hdmi_outputs_(total),key_specs.refresh_rate,features.touchpad_type,features.speaker_type,storage.hard_drive_capacity,key_specs.screen_resolution,graphics.graphics_type,dimensions.product_weight,key_specs.backlit_keyboard,included.included_software,features.media_card_slot,display.high_dynamic_range_(hdr),power.power_supply_input,processor.neural_processing_unit_(npu),display.display_surface,display.color_gamut_(ntsc),connectivity.headphone_jack,general.model_number,storage.total_storage_capacity,connectivity.wireless_connectivity,other.upc,power.charging_interface(s),graphics.graphics,dimension.product_weight,graphics.gpu_video_memory_type_(ram),warranty.manufacturer's_warranty_-_labor,processor.l3_cache,rating_average,connectivity.wireless_standard,dimension.product_width,features.backlit_keyboard,display.screen_type,features.media_card_reader,cooling.number_of_cpu_cooling_fans,storage.solid_state_drive_capacity,key_specs.screen_type,connectivity.number_of_displayport_outputs_(total),display.screen_size,display.screen_resolution,graphics.gpu_base_clock_frequency,key_specs.screen_size,warranty.manufacturer's_warranty_-_parts,features.keyboard_technology,review_count,connectivity.number_of_vga_ports,camera.rear-facing_camera,power.power_supply_maximum_wattage,key_specs.brightness,connectivity.gps_enabled,dimensions.product_height,features.customizable_case_lighting,key_specs.voice_assistant_built-in,certifications_&_listings.energy_star_certified,storage.solid_state_drive_interface,in_stock,key_specs.2-in-1_design,dimensions.product_depth,processor.unlocked_processor,graphics.advanced_graphics_rendering_technique(s),compatibility.operating_system_architecture,key_specs.touch_screen,certifications_&_listings.epeat_level,key_specs.cpu_base_clock_frequency,camera.front-facing_camera,features.mac_features,price,memory.number_of_memory_slots,included.stylus_included,connectivity.data_plan_required,key_specs.total_storage_capacity,features.security_features,display.display_type,processor.processor_brand,display.touch_screen,display.stylus_input,connectivity.number_of_usb_type_c_charging_ports,features.customizable_keyboard_lighting,graphics.gpu_video_memory_(ram),power.battery_capacity,memory.system_memory_ram_expandable_to,features.cable_lock_slot,features.windows_ai,processor.cpu_base_clock_frequency,features.keyboard_included,display.brightness,processor.cpu_cache_memory_level,cooling.number_of_gpu_cooling_fans,memory.system_memory_ram_speed,connectivity.interface(s),key_specs.system_memory_(ram),key_specs.storage_type,key_specs.display_connector(s),processor.maximum_npu_performance,storage.hard_drive_accelerator,"expansion.number_of_internal_2.5""_bays",general.color_category,compatibility.works_with,connectivity.number_of_thunderbolt_ports_(total),url,processor.processor_model_number,timestamp,key_specs.wireless_connectivity,display.color_gamut_(standard_rgb),processor.processor_model,connectivity.number_of_usb-a_charging_ports,key_specs.security_features,features.2-in-1_design,features.windows_features,compatibility.voice_assistant_built-in,connectivity.microphone_input,connectivity.displayport_over_usb-c,memory.system_memory_(ram),power.battery_cells,power.battery_life_(up_to),key_specs.processor_model,features.chrome_features,general.color,storage.storage_type,compatibility.operating_system,graphics.gpu_brand,included.numeric_keypad,features.gps_enabled,expansion.number_of_m.2_slots,general.brand,dimension.product_depth,processor.l2_cache,features.audio_technology,processor.cpu_boost_clock_frequency,connectivity.wireless_networking_standard,features.foldable_screen,features.stylus_dock,key_specs.operating_system,processor.number_of_cpu_threads,display.synchronization_technology,cooling.gpu_cooling_system,connectivity.number_of_ethernet_ports,product_title
NVIDIA GeForce RTX 4070,"AORUS 16X 16"" 165Hz Gaming Laptop IPS - Intel i7-14650HX with 32GB RAM - NVIDIA GeForce RTX 4070 - 1TB SSD",,,,,,"2 x USB-A 3.2, 1 x USB-C 3.2, 1 x USB-C",Lithium-ion polymer,DDR5,,,Lithium-ion polymer,,No,,,,2024,,,,,,,,,10 inches,,"1 x HDMI 2.1, 1 x DisplayPort 1.4, 1 x Thunderbolt 4",4,,,,,165Hz,,,,,1,165Hz,,,,2560 x 1600,Dedicated,4.63 pounds,Yes,,,,,Yes,,,Yes,AORUS 16X ASG-53USC64SH,1024 gigabytes,"Bluetooth, Wi-Fi",810075659290,,NVIDIA GeForce RTX 4070,,,1 year,,4.8,,,Yes,,No,,1024 gigabytes,,1,16 inches,2560 x 1600,,16 inches,1 year,,(26 Reviews),0,,,,,0.78 inches,,,No,NVMe,yes,,14.1 inches,,"DLSS 3 (Deep Learning Super Sampling), Ray tracing",,No,,,Yes,,"$1,599.99Your price for this item is $1,599.99",,,,1024 gigabytes,,LCD,Intel,No,,,,8 gigabytes,,,,,,,,,,5600 megahertz,,32 gigabytes,SSD,"1 x HDMI 2.1, 1 x DisplayPort 1.4, 1 x Thunderbolt 4",,,,Black,,1,https://www.bestbuy.com/site/gigabyte-aorus-16x-16-165hz-gaming-laptop-ips-intel-i7-14650hx-with-32gb-ram-nvidia-geforce-rtx-4070-1tb-ssd-black/6576654.p?skuId=6576654,14650HX,2024-11-02 20:43:48,,,Intel Core i7 14th Generation,,,,,,Yes,,32 gigabytes,,,Intel Core i7 14th Generation,,Black,SSD,Windows 11 Home,NVIDIA,,,,GIGABYTE,,,DTS:X® Ultra Audio Technology,,,No,,,,,,,"GIGABYTE - AORUS 16X 16"" 165Hz Gaming Laptop IPS - Intel i7-14650HX with 32GB RAM - NVIDIA GeForce RTX 4070 - 1TB SSD - Black"
NVIDIA RTX A500,"Precision 3000 14"" Laptop - Intel Core Ultra 7 with 32GB Memory - 1 TB SSD",16-core,,,,,4 x USB-A 3.2,Other,DDR5 SDRAM,,,Other,,No,,,,2024,,,,,,None,,,2 1/2 inches,,2 x Thunderbolt 4,2,None,,,,60Hz,,,,,,60Hz,,,,1920 x 1080 (Full HD),Dedicated,3.3 pounds,No,,,,,,,,,KP57V,1000 gigabytes,Bluetooth,884116471806,,NVIDIA RTX A500,,GDDR6,1 year limited,,,,,No,IPS,,,1000 gigabytes,IPS,,14 inches,1920 x 1080 (Full HD),,14 inches,1 year limited,,Be the first to write a review,,,,250 nits,,13 1/2 inches,,,Yes,,yes,No,15 7/10 inches,,,,No,,,Yes,,"$1,899.99Your price for this item is $1,899.99",,,,1000 gigabytes,,,Intel,No,,,,4 gigabytes,,,,,,,250 nits,,,5600 megahertz,,32 gigabytes,SSD,2 x Thunderbolt 4,,,,Gray,,,https://www.bestbuy.com/site/dell-precision-3000-14-laptop-intel-core-ultra-7-with-32gb-memory-1-tb-ssd-gray/6587183.p?skuId=6587183,165H,2024-11-02 20:43:53,,100 percent,Intel Core Ultra 7 Series 1,,,No,,No,,,32 gigabytes,3-cell,,Intel Core Ultra 7 Series 1,,Gray,SSD,Windows 11 Pro,NVIDIA,,,,Dell,,,,5 gigahertz,,,,,22,,,1,"Dell - Precision 3000 14"" Laptop - Intel Core Ultra 7 with 32GB Memory - 1 TB SSD - Gray"
Intel HD Graphics 620,"Latitude 5480 14"" Refurbished Laptop - Intel 6th Gen Core i5 with 8GB Memory - Intel HD Graphics 620 - 256GB SSD",2-core (dual-core),,,,,3 x USB-A,Lithium-ion,DDR4,0.92 megapixels,,Lithium-ion,,Yes,,,,2020,,,,720p,,,,,9 inches,,"1 x HDMI, 1 x DisplayPort",3,None,,,Air,,,,,,1,,,,,1366 x 768 (HD),Integrated,3.52 pounds,No,,,,,,,,,5480,256 gigabytes,Wi-Fi,825633593664,,Intel HD Graphics 620,,,90 days,,,,,No,,,,256 gigabytes,,1,14 inches,1366 x 768 (HD),,14 inches,90 Days,,Be the first to write a review,1,,,,,,,,Yes,,yes,,13.1 inches,,,64-bit,No,Gold,2.3 gigahertz,Yes,,$287.50Your price for this item is $287.50,2,,,256 gigabytes,,,Intel,No,,,,,,,,,2.3 gigahertz,,,,,,,8 gigabytes,SSD,"1 x HDMI, 1 x DisplayPort",,,,Black,,0,https://www.bestbuy.com/site/dell-latitude-5480-14-refurbished-laptop-intel-6th-gen-core-i5-with-8gb-memory-intel-hd-graphics-620-256gb-ssd-black/6579726.p?skuId=6579726,6200U,2024-11-02 20:43:58,,,Intel 6th Generation Core i5,,,,,,,,8 gigabytes,,,Intel 6th Generation Core i5,,Black,SSD,Windows 10 Pro,Intel,,,,Dell,,,,2.8 gigahertz,,,,,4,,,1,"Dell - Latitude 5480 14"" Refurbished Laptop - Intel 6th Gen Core i5 with 8GB Memory - Intel HD Graphics 620 - 256GB SSD - Black"
Intel UHD Graphics,"ThinkPad L15 Gen 4 15.6 "" Touch-screen  Laptop- Intel i5 16GB Memory - 512GB SSD",10-core,,,,,,Lithium-ion polymer,DDR4,,,Lithium-ion polymer,,Yes,,11.5 hours,,2023,,,,,,,,,0.78 inches,,"1 x HDMI, 2 x Thunderbolt",,,,,,60Hz,,Yes,,,1,60Hz,,,,1920 x 1080 (Full HD),Integrated,3.91 pounds,Yes,,,,,,,,Yes,21H3001FUS,512 gigabytes,"Bluetooth, Wi-Fi",196804510309,,Intel UHD Graphics,,,3,,,,,Yes,IPS,,,512 gigabytes,IPS,,15.6 inches,1920 x 1080 (Full HD),,15.6 inches,3,,Be the first to write a review,,,,250 nits,,14.18 inches,,,Yes,,yes,No,9.33 inches,,,,Yes,Gold,,Yes,,"$1,359.99Your price for this item is $1,359.99",,,,512 gigabytes,,,Intel,Yes,,,,,,,,Copilot,,,250 nits,,,,,16 gigabytes,SSD,"1 x HDMI, 2 x Thunderbolt",,,,Black,Amazon Alexa,,https://www.bestbuy.com/site/lenovo-thinkpad-l15-gen-4-15-6--touch-screen-laptop-intel-i5-16gb-memory-512gb-ssd-black/6550269.p?skuId=6550269,1335U,2024-11-02 20:44:03,,,Intel 13th Generation Core i5,,,No,,No,Yes,,16 gigabytes,,11.5 hours,Intel 13th Generation Core i5,,Black,SSD,Windows 11 Pro,Intel,,,,Lenovo,,,,4.6 gigahertz,,,,,12,,,,"Lenovo - ThinkPad L15 Gen 4 15.6 "" Touch-screen  Laptop- Intel i5 16GB Memory - 512GB SSD - Black"
Intel UHD Graphics,"Lenovo Ideapad 1 15Ijl7 15.6"" Laptop Pentium Silver N6000 4GB 128GB SSD W11H- Refurbished",4-core (quad-core),,,,,"1 x USB-A 2.0, 1 x USB-A 3.2, 1 x USB-C 3.2",Lithium-ion,DDR4,,,Lithium-ion,,No,,,,2022,,,,,,,,128 gigabytes,14.18 inches,,"1 x HDMI, 2 x Thunderbolt 4",3,,,,,60Hz,,Yes,,,,60Hz,,,,1920 x 1080 (Full HD),Integrated,3.42 pounds,No,,,,,,,,Yes,82LX0050US,128 gigabytes,"Wi-Fi, Bluetooth",840347600323,,Intel UHD Graphics,,,1 year,,4.6,,,No,TN,,,,TN,,15.6 inches,1920 x 1080 (Full HD),,15.6 inches,1 year,,(120 Reviews),,,,220 nits,,0.7 inches,,,No,,yes,,9.29 inches,,,,No,,1.1 gigahertz,Yes,,$184.99Your price for this item is $184.99,,,,128 gigabytes,,,Intel,No,,,,,,,,,1.1 gigahertz,,220 nits,,,,,4 gigabytes,"eMMC, No storage included","1 x HDMI, 2 x Thunderbolt 4",,,,Blue,Amazon Alexa,,https://www.bestbuy.com/site/lenovo-ideapad-1-15ijl7-15-6-laptop-pentium-silver-n6000-4gb-128gb-ssd-w11h-refurbished-blue/6527748.p?skuId=6527748,N6000,2024-11-02 20:44:07,,,Intel Pentium,,,,,,Yes,,4 gigabytes,,,Intel Pentium,,Blue,"eMMC, No storage included",Windows 11 Home in S Mode,Intel,,,,Lenovo,,,,3.3 gigahertz,,,,,4,,,0,"Lenovo Ideapad 1 15Ijl7 15.6"" Laptop Pentium Silver N6000 4GB 128GB SSD W11H- Refurbished - Blue"
Intel Graphics,"Latitude 3000 15.6"" Laptop - Intel Core i7 with 16GB Memory - 512 GB SSD",10-core,,,,,6 x USB-A 3.2,Lithium-ion,DDR5 SDRAM,,,Lithium-ion,,No,,9 hours,,2024,,,,,,None,,,2 3/5 inches,,1 x HDMI,4,None,,,,60Hz,,,,,1,60Hz,,,,1920 x 1080 (Full HD),Integrated,3.79 pounds,No,,,,,,,,,7CCG9,512 gigabytes,Bluetooth,884116472193,,Intel Graphics,,DDR5 SDRAM,1 year limited,,5.0,,,No,IPS,,,512 gigabytes,IPS,,15.6 inches,1920 x 1080 (Full HD),,15.6 inches,1 year limited,,(1 Review),,,,250 nits,,13 9/10 inches,,,No,,yes,No,17 3/5 inches,,,,No,,,Yes,,"$1,069.99Your price for this item is $1,069.99",,,,512 gigabytes,,,Intel,No,,,,,,,,,,,250 nits,,,5200 megahertz,,16 gigabytes,SSD,1 x HDMI,,,,,,,https://www.bestbuy.com/site/dell-latitude-3000-15-6-laptop-intel-core-i7-with-16gb-memory-512-gb-ssd-soft-charcoal-other/6585432.p?skuId=6585432,1355U,2024-11-02 20:44:13,,45 percent,Intel 13th Generation Core i7,,,No,,No,,,16 gigabytes,3-cell,9 hours,Intel 13th Generation Core i7,,"Soft Charcoal, Other",SSD,Windows 11 Pro,Intel,,,,Dell,,,,5 gigahertz,,,,,12,,,1,"Dell - Latitude 3000 15.6"" Laptop - Intel Core i7 with 16GB Memory - 512 GB SSD - Soft Charcoal, Other"
Apple M1 8-core,"Geek Squad Certified Refurbished MacBook Pro 13.3"" Laptop - Apple M1 chip - 8GB Memory - 512GB SSD",8-core,Aluminum,,,,4 x USB-A,Lithium-polymer,LPDDR3,,,Lithium-polymer,,Yes,,,,2020,,,,720p,,,,,11.97 inches,,2 x Thunderbolt 3,4,None,,,,,,Yes,,,,,,Stereo speakers,,2560 x 1600 (Retina),Integrated,3 pounds,Yes,"Photos, iMovie, GarageBand, Pages, Numbers, Keynote, Siri, Safari, Mail, FaceTime, Messages, Maps, News, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Music, Podcasts, TV, Books, App Store, Time Machine",,,USB Type C,,,,Yes,GSRF MYDC2LL/A,512 gigabytes,Wi-Fi,400065154593,,Apple M1 8-core,,,90 days,,4.2,AX,,Yes,,,,512 gigabytes,,,13.3 inches,2560 x 1600 (Retina),,13.3 inches,90 days,,(5 Reviews),,,61 watts,,,0.61 inches,,,Yes,,yes,,8.36 inches,,,,No,Gold,,Yes,"Force touch trackpad, Siri, Touch ID sensor, True Tone",$749.99Your price for this item is $749.99,,,,512 gigabytes,Fingerprint reader,,Apple,No,,,,,,,,,,,,,,,,8 gigabytes,SSD,2 x Thunderbolt 3,,,,Silver,,2,https://www.bestbuy.com/site/geek-squad-certified-refurbished-macbook-pro-13-3-laptop-apple-m1-chip-8gb-memory-512gb-ssd-silver/6515459.p?skuId=6515459,Apple M1,2024-11-02 20:44:22,,,Apple M1,,,,,Siri,,,8 gigabytes,,,Apple M1,,Silver,SSD,macOS Big Sur 11.0,Apple,No,,,Apple,,,Wide stereo sound,,Wi-Fi 6,,,,,,,,"Geek Squad Certified Refurbished MacBook Pro 13.3"" Laptop - Apple M1 chip - 8GB Memory - 512GB SSD - Silver"
Intel UHD Graphics 620,"EliteBook 830 G7 13.3"" Refurbished Laptop - Intel 10th Gen Core i7 with 32GB Memory - Intel UHD Graphics 620 - 512GB SSD",4-core (quad-core),,,,,"2 x USB-A, 2 x USB-C",Lithium-ion,DDR4,0.92 megapixels,,Lithium-ion,,Yes,,,,2020,,,,720p,,,,,8.05 inches,,1 x HDMI,4,None,,,Air,,,,,,1,,,,,1920 x 1080 (Full HD),Integrated,2.73 pounds,Yes,,,,,,,,,830 G7,512 gigabytes,Wi-Fi,825633569652,,Intel UHD Graphics 620,,,90 days,,4.6,,,Yes,,,,512 gigabytes,,0,13.3 inches,1920 x 1080 (Full HD),,13.3 inches,90 Days,,(15 Reviews),0,,,,,,,,Yes,,yes,,12.12 inches,,,64-bit,No,Gold,1.8 gigahertz,Yes,,$469.99Your price for this item is $469.99,2,,,512 gigabytes,,,Intel,No,,,,,,,,,1.8 gigahertz,,,,,,,32 gigabytes,SSD,1 x HDMI,,,,Silver,,2,https://www.bestbuy.com/site/hp-elitebook-830-g7-13-3-refurbished-laptop-intel-10th-gen-core-i7-with-32gb-memory-intel-uhd-graphics-620-512gb-ssd-silver/6579740.p?skuId=6579740,i7-10610U,2024-11-02 20:44:28,,,Intel 10th Generation Core i7,,,,,,,,32 gigabytes,,,Intel 10th Generation Core i7,,Silver,SSD,Windows 11 Pro,Intel,,,,HP,,,,4.9 gigahertz,,,,,8,,,1,"HP - EliteBook 830 G7 13.3"" Refurbished Laptop - Intel 10th Gen Core i7 with 32GB Memory - Intel UHD Graphics 620 - 512GB SSD - Silver"
Intel HD Graphics 620,"Refurbished Surface Book 2 - 13.5"" Touch-Screen PixelSense™ - 2-in-1 Laptop - Intel Core i5 - 8GB Memory - 256GB SSD",,Magnesium alloy,,,,"2 x USB-A 3.0, 1 x USB-C 3.1",Lithium-polymer,LPDDR3,,,Lithium-polymer,10/100/1000,No,,17 hours,,2017,,,,,,,,,12.3 inches,,No external display connection,3,,,,,,,,,,,,Multi-touch,Stereo,,3000 x 2000,Integrated,2.83 pounds,Yes,,,,,No,,,,GSRF HMW-00001,256 gigabytes,Wi-Fi,400065831272,,Intel HD Graphics 620,,,90 days,,,AC,,Yes,PixelSense,Yes,,256 gigabytes,PixelSense,,13.5 inches,3000 x 2000,,13.5 inches,90 days,,Be the first to write a review,,,,,,0.9 inches,,,No,,yes,,9.14 inches,,,64-bit,Yes,,,Yes,,"$1,279.99Your price for this item is $1,279.99",,,,256 gigabytes,,LCD,Intel,Yes,Built for Windows Ink (Active),,,,,,,,,,,,,1866 megahertz,,8 gigabytes,SSD,No external display connection,,,,Silver,,,https://www.bestbuy.com/site/microsoft-refurbished-surface-book-2-13-5-touch-screen-pixelsense-2-in-1-laptop-intel-core-i5-8gb-memory-256gb-ssd-silver/6583127.p?skuId=6583127,7300U,2024-11-02 20:44:34,,,Intel 7th Generation Core i5,,,,,No,,,8 gigabytes,,17 hours,Intel 7th Generation Core i5,,Silver,SSD,Windows 10 Pro,Intel,,,,Microsoft,,,Dolby Audio Premium,,,,,,,,,,"Microsoft - Refurbished Surface Book 2 - 13.5"" Touch-Screen PixelSense™ - 2-in-1 Laptop - Intel Core i5 - 8GB Memory - 256GB SSD - Silver"
NVIDIA GeForce RTX 4050,"15-FA1010NR 15.6"" Laptop FHD Intel Core i5-13500H With 16 GB DDR4 - NVIDIA GeForce RTX 4050 512GB SSD Windows 11 Home",12-core,,,,,"1 x USB-C, 2 x USB-A",Lithium-ion polymer,DDR4,,,Lithium-ion polymer,,Yes,,,,2024,,,,,,,,,0.93 inches,,1 x HDMI 2.1,3,,,,,,,,,,,,,,,1920 x 1080 (Full HD),Dedicated,5.06 pounds,Yes,,,,,,,,,15-FA1010NR,512 gigabytes,"Bluetooth, Wi-Fi",197192434925,,NVIDIA GeForce RTX 4050,,GDDR6,1-year limited hardware warranty,18 megabytes,4.3,,,Yes,IPS,,,512 gigabytes,IPS,,15.6 inches,1920 x 1080 (Full HD),,15.6 inches,1-year limited hardware warranty,,(176 Reviews on hp.com),,,,250 nits,,10.04 inches,,,Yes,,yes,,14.09 inches,,,,No,Silver,,Yes,,"$1,082.99Your price for this item is $1,082.99",,,,512 gigabytes,,LCD,Intel,No,,,,6 gigabytes,,,,,,,250 nits,L3,,3200 megahertz,,16 gigabytes,SSD,1 x HDMI 2.1,,,,Silver,,,https://www.bestbuy.com/site/hp-15-fa1010nr-15-6-laptop-fhd-intel-core-i5-13500h-with-16-gb-ddr4-nvidia-geforce-rtx-4050-512gb-ssd-windows-11-home-mica-silver/6600313.p?skuId=6600313,13500H,2024-11-02 20:44:38,,,Intel 13th Generation Core i5,,,,,,,,16 gigabytes,4-cell,,Intel 13th Generation Core i5,,Mica Silver,SSD,Windows 11 Home,NVIDIA,,,,HP,,,,,,,,,,,,,"HP - 15-FA1010NR 15.6"" Laptop FHD Intel Core i5-13500H With 16 GB DDR4 - NVIDIA GeForce RTX 4050 512GB SSD Windows 11 Home - Mica Silver"
Intel Iris Plus Graphics 645,"Geek Squad Certified Refurbished MacBook Air 13.3"" Laptop- Intel Core i5 - 8GB Memory - 512GB Solid State Drive",4-core (quad-core),Aluminum,,,,2 x USB-A,Lithium-polymer,LPDDR4X,,,Lithium-polymer,,Yes,,,,2020,,,,720p,,,,,12 inches,,2 x Thunderbolt 3,2,None,,,,,,Yes,,,,,,Stereo speakers,,2560 x 1600 (Retina),Integrated,2.8 pounds,Yes,,,,Thunderbolt,,,,Yes,GSRF MVH52LL/A,512 gigabytes,Wi-Fi,400064896234,,Intel Iris Plus Graphics 645,,,90 days,,4.0,AC,,Yes,,,,512 gigabytes,,,13.3 inches,2560 x 1600 (Retina),,13.3 inches,90 days,,(35 Reviews),,,30 watts,,,0.63 inches,,,Yes,PCIe,yes,,8.36 inches,,,,No,Gold,1.1 gigahertz,Yes,"Force touch trackpad, Siri, Touch ID sensor",$559.99Your price for this item is $559.99,,,,512 gigabytes,Fingerprint reader,,Intel,No,,,,,,,,,1.1 gigahertz,,,,,3733 megahertz,,8 gigabytes,SSD,2 x Thunderbolt 3,,,,Gold,,2,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-air-13-3-laptop-intel-core-i5-8gb-memory-512gb-solid-state-drive-gold/6489623.p?skuId=6489623,Not provided,2024-11-02 20:44:44,,,Intel 10th Generation Core i5,,,,,Siri,,,8 gigabytes,,,Intel 10th Generation Core i5,,Gold,SSD,Mac OS,Intel,No,,,Apple,,,Wide stereo sound,,Wi-Fi 5,,,,,,,,"Apple - Geek Squad Certified Refurbished MacBook Air 13.3"" Laptop- Intel Core i5 - 8GB Memory - 512GB Solid State Drive - Gold"
NVIDIA GeForce RTX 4060,"XPS 16 - 16.3"" FHD+ Laptop - Intel Core Ultra 9 - Evo Edition - 32GB Memory - NVIDIA GeForce RTX 4060 - 1TB SSD",16-core,Aluminum,,,,,Lithium-ion,LPDDR5X,0.92 megapixels,,Lithium-ion,,Yes,,,,2024,,,,1080p,,,,,14.1 inches,,3 x Thunderbolt 4,0,None,,,Air,120Hz,,Yes,,,0,120Hz,Haptic,Quad-speaker,,1920 x 1080 (Full HD),Dedicated,4.7 pounds,Yes,McAfee+ Premium Protection 1-year Subscription ; MS Office 30-Day Trial,microSD,,,,,,Yes,XPS9640-9196SLV-PUS,1000 gigabytes,"Bluetooth, Wi-Fi",884116471196,,NVIDIA GeForce RTX 4060,,GDDR6,1 Year Premium Support,24 megabytes,3.2,BE,,Yes,Not Applicable,Yes,,1000 gigabytes,Not Applicable,0,16.3 inches,1920 x 1080 (Full HD),,16.3 inches,1 Year Premium Support,,(5 Reviews),0,,130 watts,500 nits,,0.74 inches,No,,Yes,PCIe,yes,No,9.4 inches,,,64-bit,No,Gold,1.8 gigahertz,Yes,,"$2,749.99Your price for this item is $2,749.99",,No,,1000 gigabytes,Fingerprint reader,LED,Intel,No,,,No,8 gigabytes,,,None,,1.8 gigahertz,,500 nits,L3,,3733 megahertz,,32 gigabytes,SSD,3 x Thunderbolt 4,,,,Silver,,3,https://www.bestbuy.com/site/dell-xps-16-16-3-fhd-laptop-intel-core-ultra-9-evo-edition-32gb-memory-nvidia-geforce-rtx-4060-1tb-ssd-platinum/6575147.p?skuId=6575147,185H,2024-11-02 20:44:50,,100 percent,Intel Core Ultra 9 Series 1,,,No,,,Yes,,32 gigabytes,6-cell,,Intel Core Ultra 9 Series 1,,Platinum,SSD,Windows 11 Home,NVIDIA,No,Yes,,Dell,,,Waves MaxxAudio Pro and Waves Nx 3D audio,5.1 gigahertz,Wi-Fi 7,No,None,,22,,,0,"Dell - XPS 16 - 16.3"" FHD+ Laptop - Intel Core Ultra 9 - Evo Edition - 32GB Memory - NVIDIA GeForce RTX 4060 - 1TB SSD - Platinum"
Intel UHD Graphics,"Geek Squad Certified Refurbished Surface Laptop Go 12.4"" Touch-Screen Laptop - Intel Core i5 - 4GB Memory - 64GB eMMC",4-core (quad-core),Aluminum,,,,,Lithium-ion,LPDDR4X,5 megapixels,,Lithium-ion,,No,,13 hours,,2020,,,,720p,,,,64 gigabytes,8.1 inches,,,,None,,,,,,Yes,,,,,Multi-touch,Omnisonic speakers,,1536 x 1024,Integrated,2.45 pounds,No,Microsoft 365 Family (30-day trial),,,,,,,Yes,GSRF 1ZO-00001,64 gigabytes,Wi-Fi,400064636106,,Intel UHD Graphics,,,90 days,,1.0,AX,,No,PixelSense,,,,PixelSense,,12.4 inches,1536 x 1024,,12.4 inches,90 Days,,(1 Review),,,39 watts,,,0.62 inches,,,No,,yes,No,11 inches,,,,Yes,,1 gigahertz,Yes,,$339.99Your price for this item is $339.99,,No,,64 gigabytes,Facial recognition,LCD,Intel,Yes,Built for Windows Ink (Active),,,,,,,,1 gigahertz,,,,,,,4 gigabytes,eMMC,,,,,,,,https://www.bestbuy.com/site/microsoft-geek-squad-certified-refurbished-surface-laptop-go-12-4-touch-screen-laptop-intel-core-i5-4gb-memory-64gb-emmc/6463610.p?skuId=6463610,1035G1,2024-11-02 20:44:56,,,Intel 10th Generation Core i5,,,No,,No,,,4 gigabytes,,13 hours,Intel 10th Generation Core i5,,,eMMC,Windows 10 Home in S mode,Intel,No,,,Microsoft,,,Dolby Audio,,Wi-Fi 6,,None,,,,,,"Microsoft - Geek Squad Certified Refurbished Surface Laptop Go 12.4"" Touch-Screen Laptop - Intel Core i5 - 4GB Memory - 64GB eMMC"
Apple M2 10-core,"Geek Squad Certified Refurbished MacBook Air 15"" Laptop - M2 chip - 8GB Memory - 256GB SSD",,,,,,,Lithium-ion,Not provided,,,Lithium-ion,,Yes,,18 hours,,2023,,,,1080p,,,,,13.4 inches,,2 x Thunderbolt 3,,None,,,,,,,,,,,,,,2880 x 1864 (Retina),Integrated,3.3 pounds,Yes,,,,,,,,Yes,GSRF MQKU3LL/A,256 gigabytes,"Wi-Fi, Bluetooth",400065686797,,Apple M2 10-core,,,90 days,,4.4,,,Yes,,,,256 gigabytes,,,15 inches,2880 x 1864 (Retina),,15 inches,90 days,,(7 Reviews),,,,500 nits,,0.44 inches,,,No,,yes,,9.35 inches,,,,No,Gold,,Yes,Touch ID sensor,$899.99Your price for this item is $899.99,,,,256 gigabytes,Fingerprint reader,,Apple,No,,,,,,,,,,,500 nits,,,,,8 gigabytes,SSD,2 x Thunderbolt 3,,,,Gold,,2,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-air-15-laptop-m2-chip-8gb-memory-256gb-ssd-starlight/6568679.p?skuId=6568679,Apple M2,2024-11-02 20:45:01,,,Apple M2,,,,,,,,8 gigabytes,,18 hours,Apple M2,,Starlight,SSD,macOS Ventura,Apple,,,,Apple,,,Six-speaker sound system with Spatial Audio,,,,,,,,,,"Apple - Geek Squad Certified Refurbished MacBook Air 15"" Laptop - M2 chip - 8GB Memory - 256GB SSD - Starlight"
